,Author,Tweet,Bio,Fear
1,eastiemom17, One year ago the Parkland community lost lives in a heinous act of gun violence SinceParkland kids in America,,2
2,VictoriaEstrei1,A year ago we lost innocent lives in Parkland We need to look at what isn t being done to prevent shootings Activist groups can round up a PR Campaign to get the community politicians involved With the right strategies tactics your voice can definitely be heard ,Strategic communications student. MS in PR.  @QuinnipiacU Alumna. Lover of pop culture & music! Jeremiah 29:11 Opinions are mine.,2
3,InactionNever, Parkland shooting one year on powerful speeches from the survivors video t co OBrqjfFlT,"Wife of James, Mother, Veteran, Small Business Owner.              â€_Ã„ÃºKnow who you are then adorn yourself accordingly."" ~Epictetus",2
4,brookeksimone, We have a gun epidemic in this country and it must stop It is a national emergency It s impossible to read this without crying One year later we remember honor those lost at Parkland and continue to DEMAND ACTION GunReformNow t co uYxk M zOn,"0L | @WTIUSA currently | @teammothership, @GeorgetownSFS, and @baldwinschool alum",3
5,georgid63, Parkland A Year After the School Shooting That Was Supposed to Change Everything t co WA hJsspKe ,,2
6,SasswithCas,I Remember the First Time I Saw a Teenager Die Support tighter gun laws Parkland columbine SandyHook springfield virginiatech Reynolds redlake nickelmines t co jVPyI joSA,"Mom, Wife, Resistor, Stage Manager, writer, bleeding heart liberal, and (still) and optimist.",2
7,MicheleDiane8, One year ago the Parkland community lost lives in a heinous act of gun violence SinceParkland kids in America,"Live life 4 the betterment of all!  I BLOCK Bots, Trolls & Irrational Trumpsters. Will not tolerate Racism/Ignorance! #RESIST #FBR",2
8,MattMurph24, One year ago the Parkland community lost lives in a heinous act of gun violence SinceParkland kids in America,"Originally from Queens, NY. Pragmatic Democrat. Yankees, Lakers, FSU, Chelsea FC, Cardinals. Citizen. Ally. Sales Leader. Civil Rights. Equality. #ForThePeople",2
9,NHLABOR_NEWS,One Year After Parkland Shooting PRIDE FUND Calls For Change To Gun Laws t co gorrC VKZ NHpolitics GVP,NH Labor News: Where #Progressive Politics and Labor Intersect. Talking about policies that affect working families in NH and the US. #Union #UniteBlue,3
10,cre8ivetype, One year ago today saw the deadliest high school shooting in US history It also showed us that todays youth have the cour,"Truth, when not sought, rarely comes to light - Oliver Wendell Holmes Sr.",2
11,kid_kaos456, One year ago the Parkland community lost lives in a heinous act of gun violence SinceParkland kids in America,pragmatist rpg fan mediator when it\'s called for/needed. seeker of civility,2
12,SassyNeveragain, One year ago the Parkland community lost lives in a heinous act of gun violence SinceParkland kids in America,I am new at politics.  Trump Lies! #ScaryTimes #Factsmatter #MarchForOurLives #Neveragain  Pro #Mueller #IstandwithDrChristineFord ï£¿Ã_Ã_Ã» #UNFITWHITEHOUSE #Cult45,2
13,BOB_1and_only, One year ago the Parkland community lost lives in a heinous act of gun violence SinceParkland kids in America,You know when it says â€_Ã„Ãºdonâ€_Ã„Ã´t think too hardâ€_Ã„Ã_? I usually donâ€_Ã„Ã´t listen. Ask me about socialism. #TheResistance | No lists | Blocked by @DLoesch | #BlockTrump,2
14,MDKiSetting,It s really sad news for us Pray for JammuandKashmir RIP If they not pay attention we india Will definitely attack on the terrorist gang So sad news india Pulwama Parkland Attack KashmirterrorAttack ,- Laugh.. Laugh.. & Laugh ï£¿Ã_Ã_Ã‡ - Câˆ_Ã†vâˆ_Ã˜Æ’Ã_ âˆ_Ã£âˆ_Â±gâˆ_Â±âˆ_Â´âˆ_Â®â‰ˆÃ´ ï£¿Ã_Ã«âˆ‘ - Learning from all.. ï£¿Ã_Ã´Ã¥ - ï£¿Ã_Ã_Ã§ Make a videos ï£¿Ã_Ã¬Ï€ - ï£¿Ã_Ã´Ã¡creating something âˆ_Â±âˆ_Â´w..,4
