"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,1,0,1,0,1,0,2,1,1
"2",0,0,0,0,0,0,0,0,0,1
"3",0,0,0,0,0,0,0,2,0,1
"4",0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,1
"6",0,0,0,0,0,0,0,0,0,1
"7",2,4,0,1,3,0,0,1,2,3
"8",0,0,0,1,1,0,0,1,1,1
"9",0,0,0,0,0,0,0,0,0,1
"10",2,0,0,2,0,2,0,0,4,1
"11",0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,1
"13",0,0,0,0,0,0,0,0,0,1
"14",0,0,0,0,0,0,0,0,0,0
"15",1,0,0,0,0,0,0,1,1,1
"16",0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,1
"18",0,0,0,0,0,0,0,0,0,1
"19",0,0,0,0,0,0,0,2,0,1
"20",0,0,0,0,0,1,0,1,1,0
"21",0,0,0,0,0,0,0,0,0,1
"22",0,0,0,0,0,0,0,0,0,1
"23",0,0,0,1,1,0,0,1,1,1
"24",0,0,0,0,0,0,0,0,0,1
"25",0,0,0,1,1,1,0,1,1,1
"26",0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,1,0,0,1,0
"28",0,0,0,0,0,0,0,0,0,1
"29",0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0
"31",1,1,0,0,1,0,1,2,0,2
"32",0,0,0,0,0,0,0,0,1,0
"33",1,1,0,1,1,0,1,1,1,1
"34",0,0,0,0,0,0,0,0,0,0
"35",0,0,0,1,1,1,0,1,1,1
"36",2,1,2,1,0,2,0,0,3,1
"37",1,1,0,0,1,1,1,1,1,1
"38",0,0,0,0,0,0,0,1,0,0
"39",0,0,0,0,0,0,0,0,0,1
"40",2,1,0,0,1,0,1,1,2,3
"41",1,1,1,1,1,1,1,1,1,2
"42",1,2,0,1,3,1,0,4,2,4
"43",0,0,0,0,0,0,0,1,0,0
"44",0,0,0,0,0,0,0,0,0,0
"45",1,0,0,0,0,0,0,0,1,0
"46",0,0,0,0,0,0,0,0,0,1
"47",0,1,0,0,1,1,0,1,0,2
"48",0,0,0,0,0,0,0,0,0,1
"49",0,0,0,0,0,1,0,1,1,3
"50",0,0,0,2,0,1,0,2,1,2
"51",0,0,0,0,0,0,0,0,0,1
"52",0,0,0,1,1,0,0,1,1,1
"53",0,0,0,0,0,0,0,1,0,0
"54",0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,1
"56",0,0,0,0,0,0,0,0,0,1
"57",2,1,1,2,1,0,0,1,1,1
"58",3,2,1,3,0,5,2,2,7,3
"59",0,0,0,0,0,0,0,0,0,1
"60",0,0,0,0,0,0,0,0,0,1
"61",0,0,0,1,1,0,0,1,1,1
"62",0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0,0,0,1
"65",0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,1,0,0
"68",0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0
"70",1,0,0,2,0,0,0,1,1,0
"71",0,0,0,0,0,0,0,0,0,0
"72",0,0,1,0,0,0,0,1,0,0
"73",0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0
"76",1,0,0,1,0,1,0,0,2,1
"77",0,0,0,0,0,0,0,0,0,1
"78",1,1,0,2,0,1,0,0,2,0
"79",1,1,0,0,1,1,1,1,1,1
"80",0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,1,0,0,1,0,2
"82",2,0,0,2,0,2,0,0,4,1
"83",1,0,1,1,0,1,0,0,1,0
"84",0,0,0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,1,0,0,0,0,1
"87",0,0,0,0,0,0,0,0,0,1
"88",0,0,0,0,0,0,0,0,0,1
"89",0,0,0,0,0,0,0,0,0,1
"90",2,0,0,2,0,2,0,0,4,1
"91",0,0,0,0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,1
"93",0,0,0,0,0,0,0,0,0,0
